date,series_code,series_name,value,source
2022-04-18,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-04-19,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-04-20,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-04-21,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-04-22,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-04-25,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-04-26,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-04-27,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-04-28,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-04-29,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-02,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-03,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-04,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-05,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-06,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-09,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-10,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-11,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-12,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-13,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-16,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-17,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-18,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-19,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-20,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-23,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-24,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-25,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-26,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-27,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-30,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-05-31,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-06-01,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-06-02,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-03,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-06,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-07,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-08,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-09,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-10,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-13,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-14,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-15,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-16,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-17,V39079,Target overnight rate,1.5,Bank of Canada Valet API
2022-06-20,V39079,Target overnight rate,1.5,Bank of Canada Valet API
